5992.85075 17.667 0.013
5992.86548 17.664 0.013
5993.80587 17.887 0.022
5993.84505 17.878 0.018
5993.86235 17.940 0.027
5993.88818 17.676 0.014
5993.90697 17.666 0.017
5994.79871 17.838 0.018
5994.81690 17.812 0.018
5994.83125 17.857 0.019
5994.86769 17.825 0.020
5995.83450 17.790 0.014
5995.86443 17.833 0.014
5995.88160 17.862 0.017
5996.78519 17.707 0.020
5996.82406 17.681 0.015
5996.87102 17.789 0.014
5996.90845 17.852 0.015
5999.81649 17.882 0.017
5999.86490 17.753 0.014
5999.90326 17.611 0.013
6004.83145 17.635 0.013
6004.87988 17.681 0.012
6004.91784 17.731 0.020
6005.78604 17.896 0.015
6006.80284 17.853 0.013
6007.76431 17.688 0.013
6007.81172 17.801 0.013
6011.78231 17.890 0.016
6012.73888 17.775 0.015
6045.90767 17.748 0.017
6061.76227 17.707 0.011
6066.64906 17.888 0.016
6066.68714 17.865 0.014
6066.72521 17.707 0.013
6086.76707 17.650 0.014
6086.80698 17.653 0.017
6097.82716 17.780 0.017
6097.86687 17.904 0.020
6157.65956 17.817 0.020
6221.51242 17.656 0.027
6221.54138 17.744 0.032
6224.51562 17.790 0.026
6334.87081 17.889 0.016
6337.86223 17.697 0.015
6338.88254 17.607 0.012
6341.87583 17.982 0.020
6343.87930 17.752 0.015
6344.83237 17.622 0.012
6344.87144 17.686 0.011
6349.84791 17.746 0.018
6349.88536 17.811 0.020
6350.88249 17.694 0.014
6352.88022 17.645 0.012
6353.85583 17.834 0.015
6354.88766 17.929 0.017
6360.84582 17.898 0.013
6360.89472 17.875 0.014
6361.83135 17.716 0.012
6361.86894 17.898 0.014
6362.82922 17.694 0.013
6362.85524 17.711 0.013
6362.90687 17.897 0.018
6363.88136 17.689 0.012
6367.84384 17.835 0.012
6367.88216 17.958 0.012
6368.83295 17.751 0.012
6368.87226 17.802 0.013
6368.91258 17.887 0.020
6369.84149 17.661 0.011
6369.89764 17.771 0.012
6370.82983 17.648 0.012
6370.87265 17.637 0.011
6370.91298 17.697 0.013
6371.84299 17.810 0.014
6371.88179 17.651 0.010
6372.83546 17.930 0.014
6372.87553 17.865 0.013
6373.84954 17.910 0.014
6373.88932 17.939 0.016
6374.84474 17.817 0.014
6374.88434 17.917 0.015
6375.85943 17.726 0.011
6375.90005 17.833 0.011
6376.81539 17.645 0.012
6376.85535 17.622 0.012
6377.77758 17.905 0.014
6377.82766 17.774 0.012
6377.86741 17.657 0.010
6377.90990 17.644 0.010
6378.77402 17.779 0.015
6378.82310 17.909 0.014
6378.86426 17.819 0.012
6378.90372 17.619 0.011
6379.75919 17.707 0.014
6379.80769 17.799 0.014
6379.84740 17.934 0.016
6379.89372 17.880 0.015
6380.74832 17.616 0.013
6380.78734 17.684 0.012
6380.85032 17.813 0.014
6380.89121 17.917 0.014
6381.74735 17.666 0.014
6381.75071 17.651 0.013
6381.79581 17.624 0.011
6381.84446 17.754 0.012
6381.88369 17.807 0.012
6382.78946 17.624 0.018
6382.82868 17.631 0.019
6382.86898 17.705 0.018
6386.78248 17.711 0.013
6386.83894 17.869 0.015
6386.88757 17.872 0.017
6387.75704 17.678 0.011
6387.79880 17.686 0.012
6387.84002 17.734 0.011
6387.87786 17.825 0.014
6388.81855 17.635 0.011
6388.88671 17.770 0.013
6389.79921 17.761 0.012
6389.83600 17.670 0.013
6389.87462 17.687 0.012
6389.91880 17.763 0.015
6390.78220 17.896 0.014
6390.82319 17.856 0.014
6390.86666 17.622 0.011
6390.91353 17.651 0.012
6391.79333 17.875 0.016
6391.84539 17.932 0.019
6391.88737 17.720 0.018
6393.76677 17.655 0.013
6393.80607 17.686 0.013
